City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Portland,US,2019-11-10 03:13:47,43.66,-70.25,37.99,31,75,9.17
234,Chuy,UY,2019-11-10 03:15:02,-33.69,-53.46,61.86,86,32,10.22
235,Xiangxiang,CN,2019-11-10 03:15:03,27.73,112.52,70.32,44,17,5.79
236,Flin Flon,CA,2019-11-10 03:15:03,54.77,-101.88,6.64,78,10,9.84
237,Karratha,AU,2019-11-10 03:15:03,-20.74,116.85,82.72,54,44,13.02
238,Port Augusta,AU,2019-11-10 03:15:03,-32.49,137.76,75.99,46,0,11.41
239,Hasaki,JP,2019-11-10 03:15:04,35.73,140.83,64.99,51,20,5.82
240,Husavik,CA,2019-11-10 03:15:04,50.56,-96.99,15.01,74,94,15.99
241,Mayumba,GA,2019-11-10 03:15:04,-3.44,10.65,80.82,85,81,9.13
242,Luohe,CN,2019-11-10 03:15:04,33.57,114.03,69.22,21,0,18.7
243,Polson,US,2019-11-10 03:14:53,47.69,-114.16,45.0,81,90,12.75
244,Kuching,MY,2019-11-10 03:15:05,1.56,110.34,87.8,70,75,4.7
245,Matadi,CD,2019-11-10 03:15:05,-5.83,13.46,74.48,96,100,3.44
246,Srandakan,ID,2019-11-10 03:15:05,-7.94,110.25,87.01,54,46,10.98
247,Thompson,CA,2019-11-10 03:15:05,55.74,-97.86,1.4,77,75,8.05
248,Dovolnoye,RU,2019-11-10 03:15:06,54.5,79.67,15.93,63,0,8.93
249,Puerto Ayacucho,CO,2019-11-10 03:15:06,5.66,-67.63,73.62,96,94,2.24
250,Shambu,ET,2019-11-10 03:15:06,9.57,37.1,57.34,89,100,1.23
251,Norman Wells,CA,2019-11-10 03:15:06,65.28,-126.83,-5.81,91,20,4.7
252,Huarmey,PE,2019-11-10 03:15:06,-10.07,-78.15,61.56,86,99,1.14
253,Jizan,SA,2019-11-10 03:15:07,16.89,42.56,78.8,78,0,5.82
254,Boquira,BR,2019-11-10 03:15:07,-12.82,-42.73,75.06,51,89,3.04
255,Colombo,BR,2019-11-10 03:15:07,-25.29,-49.22,66.99,88,75,9.17
256,Marsabit,KE,2019-11-10 03:15:07,2.34,37.99,74.17,72,100,21.81
257,Pontes E Lacerda,BR,2019-11-10 03:15:08,-15.23,-59.33,71.73,96,99,2.08
258,Matamoros,US,2019-11-10 03:15:08,25.87,-97.51,64.99,82,1,4.7
259,Chemax,MX,2019-11-10 03:15:08,20.66,-87.94,72.41,99,13,3.09
260,Nikolskoye,RU,2019-11-10 03:15:09,59.7,30.79,41.0,93,90,4.47
261,Russkaya Polyana,RU,2019-11-10 03:15:09,53.78,73.88,16.74,67,0,7.43
262,Tateyama,JP,2019-11-10 03:15:09,36.66,137.31,61.0,54,40,3.36
263,Ust-Kuyga,RU,2019-11-10 03:15:10,70.0,135.55,-19.02,98,0,5.82
264,Biak,ID,2019-11-10 03:15:10,-0.91,122.88,80.58,80,88,19.53
265,Laguna,BZ,2019-11-10 03:15:10,16.17,-88.94,77.0,94,40,0.85
266,Mae Chan,TH,2019-11-10 03:15:11,20.15,99.85,77.0,88,75,2.24
267,Alexandria,RO,2019-11-10 03:15:11,43.97,25.33,45.0,90,58,7.4
268,Dhidhdhoo,MV,2019-11-10 03:15:11,6.88,73.1,81.97,65,2,3.62
269,Kruisfontein,ZA,2019-11-10 03:15:11,-34.0,24.73,59.74,91,96,10.74
